Input (Misspelled),Expected Output,Predicted Output (Top-1),Top-3 Predictions,Correct?
nananswer,nonanswer,nonanswer,"nonanswer, banana, nane",✅
phlbological,phlebological,phlebological,"phlebological, unphilological, conchological",✅
intie,lintie,lintie,"lintie, tottie, antietam",✅
pcanineter,planineter,planineter,"planineter, pickaninny, centimeter",✅
preoccuapte,preoccupate,preoccupate,"preoccupate, preoptic, preopen",✅
thylacyns,thylacynus,thylacynus,"thylacynus, acylamino, phyllachora",✅
medtasternal,metasternal,metasternal,"metasternal, asternata, eastern",✅
pelfeted,pelleted,pelleted,"pelleted, velated, pell",✅
paroopsis,paropsis,paropsis,"paropsis, paroli, parathesis",✅
ceounternoise,counternoise,counternoise,"counternoise, countervote, counterfire",✅
unsnycopated,unsyncopated,unsyncopated,"unsyncopated, unsound, unsin",✅
mmootus,momotus,amotus,"amotus, momotus, gymnotus",❌
wndrow,windrow,windrow,"windrow, window, andromede",✅
antiarthritgic,antiarthritic,antiarthritic,"antiarthritic, antipruritic, antiatheist",✅
hydrographicaljy,hydrographically,hydrographically,"hydrographically, hydroconion, stereographical",✅
unsutuerd,unsutured,unsutured,"unsutured, unstatuesque, unstain",✅
deorientalie,deorientalize,deorientalize,"deorientalize, departmentalize, ornamentalize",✅
mara,marka,marka,"marka, marc, maravedi",✅
knorrai,knorria,knorria,"knorria, norah, gimirrai",✅
gastrawlgy,gastralgy,gastralgy,"gastralgy, gastropodan, costraight",✅
heteroproteiae,heteroproteide,heteroproteide,"heteroproteide, heteroerotic, heterotic",✅
pseismochronograph,seismochronograph,seismochronograph,"seismochronograph, seismographical, photochronography",✅
overjhadowingly,overshadowingly,overshadowingly,"overshadowingly, unoverflowing, teasingly",✅
sqauilgee,squilgee,squilgee,"squilgee, stairbuilder, squirewise",✅
periwgesis,periegesis,periegesis,"periegesis, parathesis, hyperkinesis",✅
congregatioanlize,congregationalize,congregationalize,"congregationalize, congreso, congruism",✅
applsive,applosive,applosive,"applosive, apple, applied",✅
basiilsk,basilisk,basilisk,"basilisk, bassia, bassness",✅
oathfdul,oathful,oathful,"oathful, loathfulness, armful",✅
platyheiria,platycheiria,platycheiria,"platycheiria, platystencephalia, platycarpous",✅
ptropegous,pteropegous,pteropegous,"pteropegous, pteropodal, lithophagous",✅
brodasheet,broadsheet,broadsheet,"broadsheet, foresheet, brutishness",✅
lancline,landline,landline,"landline, decline, lanceolate",✅
unsutuued,unsutured,unsutured,"unsutured, unstecked, unstarched",✅
anglophhobe,anglophobe,anglophobe,"anglophobe, inglorious, unglossiness",✅
tripetlaoid,tripetaloid,tripetaloid,"tripetaloid, triptane, triplasic",✅
unifomralization,uniformalization,uniformalization,"uniformalization, visualization, decimalization",✅
lonoey,looney,looney,"looney, loin, londres",✅
